project,source_path,row_index,task_ids,checkpoint_ids,text
株式会社青潮モビリティサービス,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx.sheets/WBSスケジュール_rev.csv,0,T01,CP1,1 T01 タスク 1. 立上げ・定義確認 キックオフ会議実施 キックオフ議事録、進行計画合意 伊藤 翔太 2025-07-23 2025-07-23 なし 完了 MS1: キックオフ完了 / CP1
株式会社青潮モビリティサービス,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx.sheets/WBSスケジュール_rev.csv,6,T03 | T04 | T05 | T06,CP2,"7 MS2 マイルストーン 1. 立上げ・定義確認 データ定義・品質確認完了 定義差異確認結果整理済、前処理方針反映可能 鈴木 美咲 2025-07-29 2025-07-29 T03, T04, T05, T06 完了 CP2 / 到達条件: yr・workingday定義差異確認完了"
株式会社青潮モビリティサービス,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx.sheets/WBSスケジュール_rev.csv,13,T10 | T11,CP3,"14 MS3 マイルストーン 2. 前処理設計・ベースライン構築 ベースライン評価完了 ベースラインモデル評価、初期可視化、改善方針案が揃っている状態 鈴木 美咲 2025-08-05 2025-08-05 T10, T11 完了 CP3"
株式会社青潮モビリティサービス,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx.sheets/WBSスケジュール_rev.csv,15,T11 | T12,CP4,16 T12 タスク 3. 改善分析・中間報告 中間報告会実施 中間報告議事録 伊藤 翔太 2025-08-06 2025-08-06 T11 完了 MS4: 中間報告ゲート通過 / CP4 / 会議日固定
株式会社青潮モビリティサービス,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx.sheets/WBSスケジュール_rev.csv,22,T17 | T18,CP5,23 T18 タスク 4. 示唆整理・最終報告準備 QAレビュー・整合性確認 QAレビュー結果 池田 直哉 2025-08-20 2025-08-21 T17 完了 クリティカルパス上 / CP5
株式会社青潮モビリティサービス,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx.sheets/WBSスケジュール_rev.csv,25,T18 | T19,CP6,26 T19 タスク 5. 最終化・検収対応 変更管理チェックポイント 変更管理判定記録 伊藤 翔太 2025-08-22 2025-08-22 T18 完了 MS7 / CP6 / スコープ外要求・追加見積要否判定
株式会社青潮モビリティサービス,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx.sheets/WBSスケジュール_rev.csv,27,T20 | T21,CP7,28 T21 タスク 5. 最終化・検収対応 最終報告・検収会実施 最終報告議事録、受領判断記録 中村 誠 2025-08-26 2025-08-26 T20 完了 MS8 / CP7 / 会議日固定 / 支払基準日
株式会社青潮モビリティサービス,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx.sheets/WBSスケジュール_rev.csv,28,T21 | T22,CP8,29 T22 タスク 5. 最終化・検収対応 指摘反映・最終成果物提出 最終報告書、補足資料、提出記録 伊藤 翔太 / 藤田 彩 2025-08-26 2025-08-27 T21 完了 MS9 / CP8 / クリティカルパス上
株式会社青葉バイオメディカル機器,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx.sheets/WBS.csv,13,T13 | T14,,T14 3. モデル評価・示唇整理 変更管理チェックポイント 変更可否判定結果 加藤 大輔 2025-07-14 2025-07-14 =G15-F15+1 T13 完了 CP5対応
株式会社青葉バイオメディカル機器,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx.sheets/マイルストーン・CP.csv,5,,,MS4 変更管理チェックポイント完了 2025-07-14 00:00:00 変更管理判定会 追加分析・追加資料・会議増加要否の影響判定と記録完了 加藤 大輔 完了
株式会社青葉バイオメディカル機器,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx.sheets/マイルストーン・CP.csv,11,,,【チェックポイント一覧】
株式会社青葉バイオメディカル機器,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx.sheets/マイルストーン・CP.csv,13,,CP1,CP1 2025-06-23 00:00:00 キックオフ合意確認 山田 太一 / 加藤 大輔 完了
株式会社青葉バイオメディカル機器,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx.sheets/マイルストーン・CP.csv,14,,CP2,CP2 2025-06-26 00:00:00 定義差分・分析前提の確定確認 渡辺 遥 / 山田 太一 完了
株式会社青葉バイオメディカル機器,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx.sheets/マイルストーン・CP.csv,15,,CP3,CP3 2025-07-08 00:00:00 EDA速報版の社内品質確認 清水 麻衣 完了
株式会社青葉バイオメディカル機器,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx.sheets/マイルストーン・CP.csv,16,,CP4,CP4 2025-07-11 00:00:00 中間報告内容のクライアント確認 山田 太一 完了
株式会社青葉バイオメディカル機器,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx.sheets/マイルストーン・CP.csv,17,,CP5,CP5 2025-07-14 00:00:00 変更管理判定 加藤 大輔 / 山田 太一 完了
株式会社青葉バイオメディカル機器,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx.sheets/マイルストーン・CP.csv,18,,CP6,CP6 2025-07-18 00:00:00 公平性・利用制約レビュー完了確認 清水 麻衣 / 井上 里奈 完了
株式会社青葉バイオメディカル機器,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx.sheets/マイルストーン・CP.csv,19,,CP7,CP7 2025-07-23 00:00:00 最終ドラフトQA完了確認 清水 麻衣 完了
株式会社青葉バイオメディカル機器,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx.sheets/マイルストーン・CP.csv,20,,CP8,CP8 2025-07-25 00:00:00 最終報告・検収会での確認 山田 太一 / 中村 誠 完了
株式会社青葉バイオメディカル機器,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx.sheets/マイルストーン・CP.csv,21,,CP9,CP9 2025-07-28 00:00:00 最終提出完了確認 加藤 大輔 完了
株式会社青葉バイオメディカル機器,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx.sheets/マイルストーン・CP.csv,22,,CP10,CP10 2025-08-01 00:00:00 最終一括精算処理確認 山田 太一 / 加藤 大輔 完了
白峰信用リスク評価株式会社,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/02.計画/スケジュール.xlsx.sheets/WBS.csv,16,T16 | T17,,"T17 フェーズ3 変更管理 変更管理チェックポイント MS6: 契約範囲逸脱有無、追加対応要否確認 伊藤 翔太 PM 2025-06-18 2025-06-18 =IF(AND(H18<>"""",I18<>""""),NETWORKDAYS(H18,I18),"""") T16 変更管理判定記録 完了 ● マイルストーンMS6 / リスクバッファB1"
白峰信用リスク評価株式会社,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/02.計画/スケジュール.xlsx.sheets/マイルストーン.csv,7,,,MS6 変更管理チェックポイント通過 2025-06-18 00:00:00 変更管理確認 契約範囲逸脱有無、追加対応要否、別紙見積要否確認 伊藤 翔太 完了
白峰信用リスク評価株式会社,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/02.計画/スケジュール.xlsx.sheets/リスク・ルール.csv,30,,,正式変更要求 契約範囲外、別紙見積と事前合意が必要 変更管理チェックポイントで付議、別紙見積
青葉与信マネジメント株式会社,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx.sheets/Sheet2.csv,3,T13,,MS4 変更管理チェックポイント 2025-05-01 中間レビュー後の追加要望を仕分けし、契約範囲内外と影響を確定 伊藤 翔太 / 中村 浩一 T13 完了
青葉与信マネジメント株式会社,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx.sheets/Sheet3.csv,8,,CP1,チェックポイント CP1 2025-04-09 前提確定完了 loan_status定義確定、リーケージ判断 MS1 完了 再計画発動条件あり
青葉与信マネジメント株式会社,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx.sheets/Sheet3.csv,9,,CP2,チェックポイント CP2 2025-04-18 データ理解完了 データ読込、品質、型整備、変数定義、初期分析 MS2 完了 再計画発動条件あり
青葉与信マネジメント株式会社,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx.sheets/Sheet3.csv,10,,CP3,チェックポイント CP3 2025-04-29 中間レビュー完了 分析結果合意、優先順位確定 MS3 完了
青葉与信マネジメント株式会社,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx.sheets/Sheet3.csv,11,,CP4,チェックポイント CP4 2025-05-01 変更管理判定完了 追加要望の仕分け完了 MS4 完了 変更管理チェックポイント
青葉与信マネジメント株式会社,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx.sheets/Sheet3.csv,12,,CP5,チェックポイント CP5 2025-05-13 モデル評価完了 ベースライン・説明性モデル比較完了 MS5 完了
青葉与信マネジメント株式会社,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx.sheets/Sheet3.csv,13,,CP6,チェックポイント CP6 2025-05-21 QA完了 QA指摘残件なし確認 MS6 完了 再計画発動条件あり
青葉与信マネジメント株式会社,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx.sheets/Sheet3.csv,14,,CP7,チェックポイント CP7 2025-05-27 検収判定 検収可否判定 MS7 完了
青葉与信マネジメント株式会社,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx.sheets/Sheet3.csv,15,,CP8,チェックポイント CP8 2025-05-28 納品完了 最終版納品、版管理確定 MS8 完了
